,variable,value,method
0,0.001,0.0006603736546821892,GPSA
1,0.001,0.005019634962081909,GPSA
2,0.001,0.18112684786319733,GPSA
3,0.001,0.37162503600120544,GPSA
4,0.001,0.0004691854410339147,GPSA
5,0.001,0.00045388200669549406,GPSA
6,0.001,0.019381169229745865,GPSA
7,0.001,0.0004088541609235108,GPSA
8,0.01,0.001363109447993338,GPSA
9,0.01,0.0008540147100575268,GPSA
10,0.01,0.0005315670277923346,GPSA
11,0.01,0.0007832242990843952,GPSA
12,0.01,0.09874682128429413,GPSA
13,0.01,0.0005213660188019276,GPSA
14,0.01,0.0008048497256822884,GPSA
15,0.01,0.000692192988935858,GPSA
16,0.1,2.9566922187805176,GPSA
17,0.1,36.90860366821289,GPSA
18,0.1,0.06290829181671143,GPSA
19,0.1,19.54804039001465,GPSA
20,0.1,10.460369110107422,GPSA
21,0.1,3.073939323425293,GPSA
22,0.1,4.7096171379089355,GPSA
23,0.1,7.297100067138672,GPSA
0,0.001,0.024665360226803455,PASTE
1,0.001,0.004070800271248469,PASTE
2,0.001,0.02514407084472523,PASTE
3,0.001,0.05824199545456725,PASTE
4,0.001,0.01017954554189587,PASTE
5,0.001,0.003033856303837646,PASTE
6,0.001,0.015516593373122885,PASTE
7,0.001,0.02652717425384534,PASTE
8,0.01,0.4560846364435922,PASTE
9,0.01,0.08557830314054772,PASTE
10,0.01,0.2484571049918241,PASTE
11,0.01,0.2089362392639064,PASTE
12,0.01,0.1036803107794763,PASTE
13,0.01,0.1621475904857745,PASTE
14,0.01,0.013376277220871964,PASTE
15,0.01,0.39224395563532904,PASTE
16,0.1,2.6657064491540647,PASTE
17,0.1,46.28656469628669,PASTE
18,0.1,0.9657846529555049,PASTE
19,0.1,38.166519106662584,PASTE
20,0.1,3.6671308035559402,PASTE
21,0.1,4.59787717309121,PASTE
22,0.1,8.384765963464732,PASTE
23,0.1,11.387268604415977,PASTE
